outcome,term,order,df,ss,ms,f,p,variance_share,partial_eta_squared,omega_squared,scale
task_energy_per_eval_image_J,Device block,0,2,0.33709960693902424,0.16854980346951212,34.67647791641525,2.607592795795831e-13,0.00860858529285087,0.2946763748405667,0.008359293361916164,natural logarithm
task_energy_per_eval_image_J,Device-by-configuration residual,-1,166,0.8068658946096169,0.004860637919335041,,,0.020605108195500568,,,natural logarithm
task_throughput_img_s,Model,1,1,4.610767177166928,4.610767177166928,237.6564609116581,7.489598337559637e-34,0.12455677854298487,0.5887592146423496,0.12396770221138935,natural logarithm
task_throughput_img_s,Precision,1,1,2.3026829986957695,2.3026829986957695,118.68903179096007,3.418756329878806e-21,0.062205434649484456,0.4169076379384732,0.06164901980873729,natural logarithm
task_throughput_img_s,Batch,1,6,17.59191035808579,2.931985059680965,151.1256513190034,1.3995950722478087e-64,0.4752336429978892,0.8452580794389382,0.4718417227734759,natural logarithm
task_throughput_img_s,Profile,1,2,5.963298806093667,2.9816494030468337,153.68554029719422,1.6874400704884508e-38,0.1610945120921606,0.6493237402851858,0.15996246642607706,natural logarithm
task_throughput_img_s,Model:Precision,2,1,0.7264327009046484,0.7264327009046484,37.44310179929206,6.549025243436269e-09,0.01962409151801048,0.18404704543008668,0.019089982052932126,natural logarithm
task_throughput_img_s,Model:Batch,2,6,0.2831549876689645,0.04719249794482742,2.432480672346543,0.02794910049403472,0.007649241815349192,0.08081560068625822,0.004502256225643044,natural logarithm
task_throughput_img_s,Model:Profile,2,2,0.0645509098745614,0.0322754549372807,1.6635995919926125,0.1925986089128527,0.0017437994756729896,0.019649525888454592,0.0006952264585622152,natural logarithm
task_throughput_img_s,Precision:Batch,2,6,0.9773995660297659,0.16289992767162764,8.3964812807989,5.846497894201784e-08,0.026403792821476382,0.23282718671787456,0.023246983039414446,natural logarithm
task_throughput_img_s,Precision:Profile,2,2,0.006191990646048345,0.0030959953230241723,0.15957936351951524,0.85263292962616,0.0001672724685513122,0.0019189534716372028,0.0,natural logarithm
task_throughput_img_s,Batch:Profile,2,12,0.3041928726860223,0.025349406057168525,1.3066047141987605,0.21890442775890487,0.008217566149325332,0.08630185342216413,0.0019273041653701684,natural logarithm
task_throughput_img_s,Model:Precision:Batch,3,6,0.29590035575870977,0.04931672595978496,2.54197145615888,0.022164139549823627,0.007993549374070617,0.0841471716077851,0.004846383425811214,natural logarithm
task_throughput_img_s,Model:Precision:Profile,3,2,0.07562029320609348,0.03781014660304674,1.948878631896645,0.14567891200477248,0.002042831431799698,0.022941781731358597,0.0009941017728446826,natural logarithm
task_throughput_img_s,Model:Batch:Profile,3,12,0.10187657178735171,0.008489714315612643,0.43759213616144244,0.9462722119961234,0.0027521271630619702,0.030663192593698985,0.0,natural logarithm
task_throughput_img_s,Precision:Batch:Profile,3,12,0.2742244184334093,0.022852034869450772,1.1778807133437814,0.30276079413874235,0.007407988485524949,0.07846671892634276,0.0011181505824605254,natural logarithm
task_throughput_img_s,Model:Precision:Batch:Profile,4,12,0.16383175001932934,0.013652645834944112,0.7037092454550623,0.7464117634432859,0.004425804691792285,0.04840800607421167,0.0,natural logarithm
