outcome,term,order,df,ss,ms,f,p,variance_share,partial_eta_squared,omega_squared,scale
task_energy_per_eval_image_J,Device block,0,2,0.16307352803339517,0.08153676401669759,249.55804920279095,1.312482167747908e-41,0.006405353801476598,0.8194104534620982,0.006379605140449543,natural logarithm
task_energy_per_eval_image_J,Device-by-configuration residual,-1,110,0.03593971050217854,0.0003267246409288958,,,0.0014116733970577654,,,natural logarithm
task_throughput_img_s,Model,1,1,2.660388706911622,2.660388706911622,4525.262348257828,3.3720024412179905e-91,0.11686802114943845,0.9762688728845427,0.11683917800739915,natural logarithm
task_throughput_img_s,Precision,1,1,1.4568477878650066,1.4568477878650066,2478.0658647515556,2.834463093365341e-77,0.06399776004212915,0.957497217710663,0.063970282275785,natural logarithm
task_throughput_img_s,Batch,1,6,11.576352230888233,1.929392038481372,3281.8531833657403,1.4353012512423024e-121,0.5085367314325089,0.9944447584278749,0.5083686483234415,natural logarithm
task_throughput_img_s,Profile,1,1,5.652144257687507,5.652144257687507,9614.172368791613,6.72023926192417e-109,0.24829263217476297,0.9886879833235956,0.24826039498915586,natural logarithm
task_throughput_img_s,Model:Precision,2,1,0.3064439894211361,0.3064439894211361,521.2544481092833,1.5359332518784446e-43,0.013461755623809806,0.8257438021554239,0.013435582950928754,natural logarithm
task_throughput_img_s,Model:Batch,2,6,0.22059273481633027,0.03676545580272171,62.53722714592802,3.4204225945500615e-33,0.009690402132196305,0.7733002810332348,0.009535201740924905,natural logarithm
task_throughput_img_s,Model:Profile,2,1,0.01977543405934271,0.01977543405934271,33.637575943962176,6.463272726811781e-08,0.0008687135980852608,0.23418367876860666,0.0008428661408008364,natural logarithm
task_throughput_img_s,Precision:Batch,2,6,0.6588191962840129,0.1098031993806688,186.7728135308516,2.7712584325145055e-55,0.028941220343081928,0.9106153881118292,0.028785522798992543,natural logarithm
task_throughput_img_s,Precision:Profile,2,1,0.0031198168206934516,0.0031198168206934516,5.306739408217808,0.023122285187775506,0.00013705020519593132,0.046022803484456185,0.00011122164313526351,natural logarithm
task_throughput_img_s,Batch:Profile,2,6,0.03358778046167964,0.005597963410279939,9.52201194571765,2.0361338655398272e-08,0.0014754751541232846,0.34183787170209007,0.0013204869135278671,natural logarithm
task_throughput_img_s,Model:Precision:Batch,3,6,0.06374012297358876,0.01062335382893146,18.070089896784832,1.6821081180715805e-14,0.0028000352055293255,0.49638435876092685,0.002645012758140465,natural logarithm
task_throughput_img_s,Model:Precision:Profile,3,1,0.0148429277774208,0.0148429277774208,25.247491855070454,1.966433328833947e-06,0.0006520338899742695,0.1866762296939699,0.0006261920284482336,natural logarithm
task_throughput_img_s,Model:Batch:Profile,3,6,0.007905587677537008,0.001317597946256168,2.241204964088337,0.04442619732017716,0.00034728398353851055,0.1089309967344053,0.0001923248785057239,natural logarithm
task_throughput_img_s,Precision:Batch:Profile,3,6,0.006507240764329481,0.0010845401273882468,1.8447787689424362,0.09689945674689569,0.00028585610414538917,0.0914247457637216,0.00013089858548898448,natural logarithm
task_throughput_img_s,Model:Precision:Batch:Profile,4,6,0.01745901202051172,0.0029098353367519535,4.949565548381794,0.00016090707962039923,0.0007669556635692207,0.21258373252949445,0.0006119857205057556,natural logarithm
task_throughput_img_s,Device block,0,2,0.0008479021717697019,0.00042395108588485093,0.7211314201844072,0.4884858416342891,3.724743255960911e-05,0.012941794285303846,0.0,natural logarithm
task_throughput_img_s,Device-by-configuration residual,-1,110,0.06466868332461263,0.0005878971211328421,,,0.0028408258653528536,,,natural logarithm
time_weighted_avg_power_W,Model,1,1,1.6649083112893148,1.6649083112893148,10193.271309152024,2.789400318408771e-110,0.38957708743969266,0.9893237791474742,0.3895239811611398,natural logarithm
time_weighted_avg_power_W,Precision,1,1,0.9241723739201417,0.9241723739201417,5658.173293937088,2.0130454820575517e-96,0.21624997561891027,0.9809298378542787,0.2162034934837492,natural logarithm
time_weighted_avg_power_W,Batch,1,6,0.25629690178414793,0.04271615029735799,261.52629926286755,1.1011209326688907e-62,0.059971711258719654,0.9344909690502388,0.059740113783034926,natural logarithm
time_weighted_avg_power_W,Profile,1,1,0.9213413950589351,0.9213413950589351,5640.840846614264,2.3754635405988525e-96,0.21558754604733937,0.9808723623320648,0.21554108922863582,natural logarithm
time_weighted_avg_power_W,Model:Precision,2,1,0.13772882966768074,0.13772882966768074,843.234019780622,2.123251061314199e-53,0.03222759833354491,0.8846033631643618,0.03218814908897798,natural logarithm
time_weighted_avg_power_W,Model:Batch,2,6,0.021413623253295842,0.0035689372088826402,21.850539761733963,8.755733241519109e-17,0.005010640479108173,0.5437639052373026,0.004781143482742498,natural logarithm
time_weighted_avg_power_W,Model:Profile,2,1,0.06718921399248408,0.06718921399248408,411.3607233684179,5.8166661701689446e-39,0.01572181369812721,0.7890136424368338,0.015682995264764996,natural logarithm
time_weighted_avg_power_W,Precision:Batch,2,6,0.015508767757030657,0.002584794626171776,15.8252035408505,4.881014831436398e-13,0.0036289449284349876,0.4632869258756453,0.0033995007371345753,natural logarithm
time_weighted_avg_power_W,Precision:Profile,2,1,0.035212971487062567,0.035212971487062567,215.58867208194872,1.1158566665118758e-27,0.00823959300281428,0.662150408069745,0.008201060521847247,natural logarithm
time_weighted_avg_power_W,Batch:Profile,2,6,0.024968854161795187,0.004161475693632531,25.478310429472497,8.594211107983206e-19,0.005842540045659177,0.5815419884131914,0.005613011256102245,natural logarithm
time_weighted_avg_power_W,Model:Precision:Batch,3,6,0.02236680877652595,0.003727801462754325,22.82317376809919,2.44075027670826e-17,0.005233679332005782,0.5545459363655472,0.005004173811634093,natural logarithm
time_weighted_avg_power_W,Model:Precision:Profile,3,1,0.007401202944516733,0.007401202944516733,45.3132878945933,7.923432920590628e-10,0.0017318305561475824,0.29175409592349977,0.0016935467861361134,natural logarithm
time_weighted_avg_power_W,Model:Batch:Profile,3,6,0.0019727548697165065,0.0003287924782860844,2.0130063096286275,0.06987021524553512,0.0004616110636035356,0.09893702478936796,0.00023228792014999433,natural logarithm
time_weighted_avg_power_W,Precision:Batch:Profile,3,6,0.0029982579216849513,0.0004997096536141585,3.0594333877442925,0.008309524191672015,0.0007015717205582706,0.14301251575514673,0.0004722394063882537,natural logarithm
time_weighted_avg_power_W,Model:Precision:Batch:Profile,4,6,0.002764363508760406,0.00046072725146006763,2.820766670337252,0.013628270645506988,0.000646842037525457,0.13334373335891397,0.0004175118149916786,natural logarithm
time_weighted_avg_power_W,Device block,0,2,0.14941858043575726,0.07470929021787863,457.4018036556495,4.913174436978577e-54,0.034962919567899535,0.8926623606560101,0.03488514820233221,natural logarithm
time_weighted_avg_power_W,Device-by-configuration residual,-1,110,0.01796674577644103,0.00016333405251310026,,,0.0042040948699060155,,,natural logarithm
