dataset,prefix,model,precision,batch,profile,total_images,warmup_images,throughput_img_s,task_time_s,task_throughput_img_s,task_energy_J,task_energy_per_eval_image_J,task_energy_per_processed_image_J,task_edp_Js
random_2026-03,resnet50_fp32_fast_BS128,resnet50,fp32,128,fast,50000.0,6400,47.60375915241335,2196.0,22.768670309653917,17850.56,0.35701120000000003,0.3164992907801419,39199829.760000005
random_2026-03,resnet50_fp32_fast_BS32,resnet50,fp32,32,fast,50000.0,1600,45.61636030264638,2120.0,23.58490566037736,17338.500500000002,0.34677001,0.33601745155038765,36757621.06
random_2026-03,resnet50_fp32_fast_BS64,resnet50,fp32,64,fast,50000.0,3200,47.62097941696795,2118.0,23.607176581680832,17212.3975,0.34424794999999997,0.32354130639097745,36455857.905
random_2026-03,resnet50_fp32_medium_BS128,resnet50,fp32,128,medium,50000.0,6400,89.25659008669962,1269.0,39.40110323089046,13656.080000000002,0.2731216,0.24212907801418443,17329565.520000003
random_2026-03,resnet50_fp32_medium_BS32,resnet50,fp32,32,medium,50000.0,1600,82.70952232112013,1360.0,36.76470588235294,14008.2445,0.28016489,0.2714776065891473,19051212.52
random_2026-03,resnet50_fp32_medium_BS64,resnet50,fp32,64,medium,50000.0,3200,87.36598570744502,1312.0,38.109756097560975,13564.974499999998,0.27129949,0.2549807236842105,17797246.544
random_2026-03,resnet50_fp32_slow_BS128,resnet50,fp32,128,slow,50000.0,6400,47.45467976004407,2200.0,22.727272727272727,17868.64,0.3573728,0.31681985815602837,39311008.0
random_2026-03,resnet50_fp32_slow_BS32,resnet50,fp32,32,slow,50000.0,1600,44.95829777141335,2150.0,23.25581395348837,17546.525999999998,0.35093051999999997,0.34004895348837205,37725030.9
random_2026-03,resnet50_fp32_slow_BS64,resnet50,fp32,64,slow,50000.0,3200,47.25918788372807,2129.0,23.485204321277596,17208.2445,0.34416489,0.323463242481203,36636352.5405
random_2026-03,resnet50_fp64_fast_BS128,resnet50,fp64,128,fast,50000.0,6400,1.2195776624669272,47571.0,1.0510605200647454,299363.722,5.98727444,5.307867411347518,14241031619.262001
random_2026-03,resnet50_fp64_fast_BS32,resnet50,fp64,32,fast,50000.0,1600,1.1595384677157163,45542.0,1.0978876641342057,301073.0665,6.02146133,5.834749350775194,13711469594.543001
random_2026-03,resnet50_fp64_fast_BS64,resnet50,fp64,64,fast,50000.0,3200,1.1587301391193632,46954.0,1.0648720023853133,313299.3415,6.265986829999999,5.889085366541353,14710657280.790998
random_2026-03,resnet50_fp64_medium_BS128,resnet50,fp64,128,medium,50000.0,6400,2.3001744153998387,26879.0,1.8601882510510064,204836.629,4.096732579999999,3.631855124113475,5505803750.891
random_2026-03,resnet50_fp64_medium_BS32,resnet50,fp64,32,medium,50000.0,1600,2.3045449972586307,23151.0,2.1597339207809596,194071.3065,3.88142613,3.761071831395349,4492944816.7815
random_2026-03,resnet50_fp64_medium_BS64,resnet50,fp64,64,medium,50000.0,3200,2.303843328545379,23828.0,2.098371663589055,202680.986,4.05361972,3.8097929699248123,4829482534.408
random_2026-03,resnet50_fp64_slow_BS128,resnet50,fp64,128,slow,50000.0,6400,1.188621805848638,48869.0,1.0231435061081666,307021.432,6.14042864,5.4436424113475175,15003830360.407999
random_2026-03,resnet50_fp64_slow_BS32,resnet50,fp64,32,slow,50000.0,1600,1.1590360113829443,45548.0,1.0977430403091244,301459.25350000005,6.029185070000001,5.842233594961241,13730866078.418003
random_2026-03,resnet50_fp64_slow_BS64,resnet50,fp64,64,slow,50000.0,3200,1.1586198005676354,46953.0,1.0648946819159586,312768.2025,6.25536405,5.87910155075188,14685405411.9825
Clone1,mobilenet_v2_fp16_fast_BS1,mobilenet_v2,fp16,1,fast,50000.0,50,33.9610676082636,2241.0,22.311468094600624,12781.5465,0.25563093000000003,0.25537555444555443,28643445.7065
Clone1,mobilenet_v2_fp16_fast_BS128,mobilenet_v2,fp16,128,fast,50000.0,6400,248.84220690533476,1227.0,40.74979625101874,6507.1845,0.13014369,0.11537561170212766,7984315.3815
Clone1,mobilenet_v2_fp16_fast_BS16,mobilenet_v2,fp16,16,fast,50000.0,800,368.073864115029,786.0,63.61323155216285,5103.0855,0.10206171,0.10045443897637796,4011025.203
Clone1,mobilenet_v2_fp16_fast_BS32,mobilenet_v2,fp16,32,fast,50000.0,1600,227.1546486866966,1207.0,41.42502071251035,6420.6895,0.12841379,0.12443196705426357,7749772.226500001
Clone1,mobilenet_v2_fp16_fast_BS4,mobilenet_v2,fp16,4,fast,50000.0,200,133.65190785425568,1049.0,47.66444232602478,6410.883499999999,0.12821766999999998,0.12770684262948206,6725016.791499999
Clone1,mobilenet_v2_fp16_fast_BS64,mobilenet_v2,fp16,64,fast,50000.0,3200,395.33328060126735,792.0,63.13131313131313,5081.551,0.10163102,0.09551787593984963,4024588.3920000005
Clone1,mobilenet_v2_fp16_fast_BS8,mobilenet_v2,fp16,8,fast,50000.0,400,266.29745856562613,834.0,59.95203836930455,5304.7625,0.10609525,0.10525322420634921,4424171.925
Clone1,mobilenet_v2_fp16_medium_BS1,mobilenet_v2,fp16,1,medium,50000.0,50,32.61191281454899,2357.0,21.21340687314383,11819.571,0.23639142,0.23615526473526474,27858728.847
Clone1,mobilenet_v2_fp16_medium_BS128,mobilenet_v2,fp16,128,medium,50000.0,6400,370.986766991064,851.0,58.75440658049354,5026.069,0.10052138000000001,0.08911469858156029,4277184.7190000005
Clone1,mobilenet_v2_fp16_medium_BS16,mobilenet_v2,fp16,16,medium,50000.0,800,230.29481976039617,876.0,57.077625570776256,5152.887500000001,0.10305775000000002,0.10143479330708663,4513929.45
Clone1,mobilenet_v2_fp16_medium_BS32,mobilenet_v2,fp16,32,medium,50000.0,1600,281.8083666738417,902.0,55.432372505543235,5212.6815,0.10425363,0.10102095930232557,4701838.7129999995
Clone1,mobilenet_v2_fp16_medium_BS4,mobilenet_v2,fp16,4,medium,50000.0,200,131.85636476811422,1073.0,46.59832246039143,5951.7515,0.11903503,0.11856078685258965,6386229.3595
Clone1,mobilenet_v2_fp16_medium_BS64,mobilenet_v2,fp16,64,medium,50000.0,3200,338.06882417810334,822.0,60.82725060827251,4845.1275000000005,0.09690255,0.09107382518796993,3982694.8050000006
Clone1,mobilenet_v2_fp16_medium_BS8,mobilenet_v2,fp16,8,medium,50000.0,400,173.77446667688275,961.0,52.02913631633715,5531.688,0.11063376,0.10975571428571429,5315952.1680000005
Clone1,mobilenet_v2_fp16_slow_BS1,mobilenet_v2,fp16,1,slow,50000.0,50,23.306329964357555,3302.0,15.142337976983645,15682.9705,0.31365940999999997,0.3133460639360639,51785168.591
Clone1,mobilenet_v2_fp16_slow_BS128,mobilenet_v2,fp16,128,slow,50000.0,6400,243.68311610502823,1234.0,40.51863857374392,6540.6735,0.13081347,0.11596938829787234,8071191.098999999
Clone1,mobilenet_v2_fp16_slow_BS16,mobilenet_v2,fp16,16,slow,50000.0,800,194.41037276975493,1254.0,39.87240829346093,6651.293,0.13302586,0.13093096456692913,8340721.421999999
Clone1,mobilenet_v2_fp16_slow_BS32,mobilenet_v2,fp16,32,slow,50000.0,1600,211.52372650634885,1233.0,40.55150040551501,6511.7125,0.13023425,0.12619597868217053,8028941.512499999
Clone1,mobilenet_v2_fp16_slow_BS4,mobilenet_v2,fp16,4,slow,50000.0,200,88.54980609057809,1591.0,31.426775612822123,8043.6875,0.16087375,0.1602328187250996,12797506.8125
Clone1,mobilenet_v2_fp16_slow_BS64,mobilenet_v2,fp16,64,slow,50000.0,3200,233.2529734379178,1216.0,41.11842105263158,6386.8955000000005,0.12773791,0.12005442669172933,7766464.928
Clone1,mobilenet_v2_fp16_slow_BS8,mobilenet_v2,fp16,8,slow,50000.0,400,166.695963025005,1307.0,38.255547054322875,6848.081,0.13696162,0.13587462301587303,8950441.867
Clone1,mobilenet_v2_fp32_fast_BS1,mobilenet_v2,fp32,1,fast,50000.0,50,26.859746992620263,3003.0,16.65001665001665,15392.161500000002,0.30784323,0.30753569430569433,46222660.984500006
Clone1,mobilenet_v2_fp32_fast_BS128,mobilenet_v2,fp32,128,fast,50000.0,6400,129.50399927422782,1437.0,34.79471120389701,8265.088,0.16530176,0.1465441134751773,11876931.456
Clone1,mobilenet_v2_fp32_fast_BS16,mobilenet_v2,fp32,16,fast,50000.0,800,122.10137785205826,1401.0,35.6887937187723,8004.741,0.16009482,0.15757364173228347,11214642.141
Clone1,mobilenet_v2_fp32_fast_BS32,mobilenet_v2,fp32,32,fast,50000.0,1600,205.35243276792968,894.0,55.92841163310962,6387.556500000001,0.12775113000000002,0.12378985465116281,5710475.511000001
Clone1,mobilenet_v2_fp32_fast_BS4,mobilenet_v2,fp32,4,fast,50000.0,200,158.73651462239133,985.0,50.76142131979695,6950.771000000001,0.13901542,0.1384615737051793,6846509.4350000005
Clone1,mobilenet_v2_fp32_fast_BS64,mobilenet_v2,fp32,64,fast,50000.0,3200,206.29940909909936,895.0,55.865921787709496,6416.2845,0.12832569,0.1206068515037594,5742574.6274999995
Clone1,mobilenet_v2_fp32_fast_BS8,mobilenet_v2,fp32,8,fast,50000.0,400,192.5057558419744,907.0,55.12679162072767,6470.389999999999,0.1294078,0.12838075396825396,5868643.7299999995
