progress_percent,slow_cpu_MHz,slow_gpu_MHz,slow_temperature_C,slow_power_W,medium_cpu_MHz,medium_gpu_MHz,medium_temperature_C,medium_power_W,fast_cpu_MHz,fast_gpu_MHz,fast_temperature_C,fast_power_W
47.0,729.0,305.0,40.13906,5.290890000000012,1190.0,311.120000000001,38.578,5.344180000000009,729.0,407.0,38.82624,5.2096
48.0,729.0,305.0,40.22204,5.17936,895.2800000000079,402.9199999999974,38.76347999999999,5.953319999999984,729.0,407.0,38.86348,4.938559999999998
49.0,729.0,389.6600000000007,40.31279,5.677430000000001,1133.199999999999,805.8600000000073,38.679500000000004,6.3237800000000055,729.0,407.21500000000003,38.823005,5.387984999999997
50.0,729.0,356.0,40.233999999999995,5.4725,1190.0,305.0,38.375,5.858,729.0,407.5,38.9215,5.537
51.0,729.0,305.0,40.29154,5.122400000000001,1190.0,305.0,38.68076000000001,5.822019999999996,729.0,407.0,38.7945,5.5782300000000005
52.0,729.0,321.32,40.437,4.99132,1191.9199999999998,305.0,38.55575999999999,5.425000000000005,729.0,407.0,38.95348,5.375040000000006
53.0,729.0,305.0,40.218,5.118309999999994,1190.0,305.0,38.4295,5.501800000000001,729.0,407.0,38.96224,5.688619999999998
54.0,729.0,305.0,40.289500000000004,5.405799999999996,1182.8800000000008,707.08,38.54952,6.360320000000001,729.0,407.0,38.76949999999999,5.443980000000005
55.0,729.0,320.3000000000022,40.19055000000001,5.254300000000011,1190.0,305.0,38.418499999999995,5.621099999999999,729.0,407.0,38.8261,5.011150000000004
56.0,729.0,353.96,40.20312,5.61904,1117.6200000000006,305.0,38.670139999999996,6.105279999999995,729.0,407.0,39.09748000000001,5.3073599999999805
57.0,729.0,305.0,40.31653000000001,5.363609999999993,1190.0,800.1599999999997,38.44134,6.2048,729.0,407.0,38.81169,5.808049999999993
58.0,729.0,392.7200000000032,40.14284,5.359399999999995,1140.8800000000047,472.2799999999937,38.57208,6.055799999999996,729.0,407.0,38.911640000000006,5.749079999999982
59.0,729.0,359.0599999999978,40.363679999999995,5.547129999999993,1134.739999999994,323.36000000000195,38.431419999999996,6.070600000000002,729.0,407.13,39.00922,5.219469999999999
60.0,729.0,387.4,40.431,5.6342,1190.0,305.0,38.3182,5.401200000000004,729.0,407.0,38.89320000000001,5.368800000000008
61.0,729.0,305.0,40.14378,5.259600000000003,1190.0,305.0,38.305,5.4209999999999985,729.0,407.0,38.80049,5.29094000000001
62.0,729.0,305.0,40.254259999999995,5.5194800000000015,1190.0,427.39999999998827,38.52356,6.032079999999991,729.0,407.0,38.75,5.586920000000013
63.0,729.0,326.4199999999996,40.107989999999994,5.325619999999998,1190.0,305.0,38.41256,5.488200000000001,729.0,407.0,38.91646000000001,5.479220000000016
64.0,729.0,305.0,40.34116,5.44408,1190.0,305.0,38.38696,5.818,729.0,407.0,38.88612,5.443720000000005
65.0,729.0,305.0,40.1106,5.306099999999984,1119.9999999999986,587.1000000000051,38.615100000000005,5.95940000000001,729.0,407.0,38.90144999999999,5.457099999999959
66.0,729.0,305.0,40.24550000000001,5.511179999999988,1116.4000000000071,579.7200000000124,38.722080000000005,6.113360000000017,729.0,407.0,38.83122,5.51323999999998
67.0,729.0,395.7800000000057,40.40609000000001,5.743770000000033,1138.9600000000075,509.6799999999853,38.53004000000001,5.96266000000002,729.0,407.0,38.951330000000006,5.4702199999999745
68.0,729.0,305.0,40.20864,5.262960000000022,1134.5599999999977,305.0,38.594519999999996,5.784400000000004,729.0,407.0,38.83556,5.2708799999999965
69.0,729.0,383.5399999999957,40.42087999999998,5.500199999999993,1190.0,305.0,38.375,5.552200000000002,729.0,407.17,39.08153999999998,5.775259999999977
70.0,729.0,396.8000000000036,40.46250000000001,5.801800000000017,1190.0,305.0,38.3622,5.6254000000000035,729.0,407.0,38.85870000000001,4.99510000000001
71.0,729.0,305.0,40.342830000000006,5.066770000000004,1151.7200000000005,578.3600000000031,38.509499999999996,6.102640000000003,729.0,407.0,38.840210000000006,5.763540000000031
72.0,729.0,305.0,40.25843999999999,4.7638000000000025,1190.0,305.0,38.41728,5.352439999999996,729.0,407.04,38.838,5.604159999999991
