device_block,fast_sequence_index,fast_start_timestamp_utc,fast_metadata_timestamp_utc,fast_prefix,model,precision,batch,realized_fast_regime,fast_cpu_mode_MHz,fast_gpu_mode_MHz,immediate_predecessor_sequence_index,immediate_predecessor_start_timestamp_utc,immediate_predecessor_prefix,immediate_predecessor_profile,immediate_predecessor_fast_regime,immediate_predecessor_state,expected_regime_from_immediate_predecessor,immediate_rule_match,last_nonfast_sequence_index,last_nonfast_start_timestamp_utc,last_nonfast_prefix,last_nonfast_profile,expected_regime_from_last_nonfast,last_nonfast_rule_match
Clone1,115,2026-07-10T22:33:01.741263628+00:00,2026-07-10T22:47:56+00:00,mobilenet_v2_fp32_fast_BS64,mobilenet_v2,fp32,64,high,1190.0,815.0,114,2026-07-10T22:18:47.863913536+00:00,mobilenet_v2_fp16_medium_BS128,medium,not_applicable,medium,high,True,114,2026-07-10T22:18:47.863913536+00:00,mobilenet_v2_fp16_medium_BS128,medium,high,True
Clone1,116,2026-07-10T22:48:00.919950485+00:00,2026-07-10T23:04:16+00:00,resnet50_fp16_fast_BS8,resnet50,fp16,8,high,1190.0,815.0,115,2026-07-10T22:33:01.741263628+00:00,mobilenet_v2_fp32_fast_BS64,fast,high,fast-high,high,True,114,2026-07-10T22:18:47.863913536+00:00,mobilenet_v2_fp16_medium_BS128,medium,high,True
Clone1,118,2026-07-10T23:41:06.133051157+00:00,2026-07-11T01:14:36+00:00,mobilenet_v2_fp64_fast_BS16,mobilenet_v2,fp64,16,low,729.0,407.0,117,2026-07-10T23:04:21.819094896+00:00,resnet50_fp32_slow_BS128,slow,not_applicable,slow,low,True,117,2026-07-10T23:04:21.819094896+00:00,resnet50_fp32_slow_BS128,slow,low,True
Clone1,123,2026-07-11T15:53:09.446936846+00:00,2026-07-11T16:29:12+00:00,resnet50_fp32_fast_BS16,resnet50,fp32,16,low,729.0,407.0,122,2026-07-11T14:18:02.848446369+00:00,mobilenet_v2_fp64_slow_BS1,slow,not_applicable,slow,low,True,122,2026-07-11T14:18:02.848446369+00:00,mobilenet_v2_fp64_slow_BS1,slow,low,True
Clone2,2,2026-07-01T18:35:09.800513268+00:00,2026-07-02T01:15:19+00:00,resnet50_fp64_fast_BS128,resnet50,fp64,128,high,1190.0,812.0,1,2026-07-01T18:13:01.256623268+00:00,resnet50_fp16_medium_BS4,medium,not_applicable,medium,high,True,1,2026-07-01T18:13:01.256623268+00:00,resnet50_fp16_medium_BS4,medium,high,True
Clone2,4,2026-07-02T02:12:44.100201368+00:00,2026-07-02T02:32:16+00:00,mobilenet_v2_fp16_fast_BS32,mobilenet_v2,fp16,32,low,729.0,407.0,3,2026-07-02T01:15:32.262022495+00:00,mobilenet_v2_fp16_slow_BS1,slow,not_applicable,slow,low,True,3,2026-07-02T01:15:32.262022495+00:00,mobilenet_v2_fp16_slow_BS1,slow,low,True
Clone2,7,2026-07-02T15:26:57.317305326+00:00,2026-07-02T15:53:14+00:00,mobilenet_v2_fp16_fast_BS4,mobilenet_v2,fp16,4,low,729.0,407.0,6,2026-07-02T15:03:40.064985513+00:00,mobilenet_v2_fp32_slow_BS32,slow,not_applicable,slow,low,True,6,2026-07-02T15:03:40.064985513+00:00,mobilenet_v2_fp32_slow_BS32,slow,low,True
Clone2,9,2026-07-02T16:18:52.089274883+00:00,2026-07-02T17:13:05+00:00,resnet50_fp32_fast_BS1,resnet50,fp32,1,low,729.0,407.0,8,2026-07-02T15:53:19.761080503+00:00,resnet50_fp16_slow_BS16,slow,not_applicable,slow,low,True,8,2026-07-02T15:53:19.761080503+00:00,resnet50_fp16_slow_BS16,slow,low,True
Clone2,10,2026-07-02T17:13:11.038753510+00:00,2026-07-02T17:49:43+00:00,resnet50_fp32_fast_BS128,resnet50,fp32,128,low,729.0,407.0,9,2026-07-02T16:18:52.089274883+00:00,resnet50_fp32_fast_BS1,fast,low,fast-low,low,True,8,2026-07-02T15:53:19.761080503+00:00,resnet50_fp16_slow_BS16,slow,low,True
Clone2,13,2026-07-03T07:41:25.896174908+00:00,2026-07-03T07:54:50+00:00,mobilenet_v2_fp16_fast_BS128,mobilenet_v2,fp16,128,high,1190.0,813.0,12,2026-07-03T06:43:42.637080669+00:00,mobilenet_v2_fp64_medium_BS128,medium,not_applicable,medium,high,True,12,2026-07-03T06:43:42.637080669+00:00,mobilenet_v2_fp64_medium_BS128,medium,high,True
