dataset,model,batch,profile,task_energy_per_eval_image_J_fp16,task_energy_per_eval_image_J_fp32,task_throughput_img_s_fp16,task_throughput_img_s_fp32,throughput_img_s_fp16,throughput_img_s_fp32,forward_throughput_fp16_over_fp32,logged_window_energy_fp16_over_fp32,logged_window_throughput_fp16_over_fp32,fp16_forward_faster,fp16_logged_window_energy_lower,fp16_logged_window_throughput_faster
Clone1,mobilenet_v2,16,medium,0.10305775000000002,0.137725,57.077625570776256,45.49590536851683,230.29481976039617,148.80802144972822,1.54759681310726,0.7482864403703033,1.2545662100456623,True,True,True
Clone1,mobilenet_v2,16,slow,0.13302586,0.1646405,39.87240829346093,34.41156228492773,194.41037276975493,112.84716155718766,1.722775921760632,0.8079777454514533,1.1586921850079748,True,True,True
Clone1,mobilenet_v2,32,fast,0.12841379,0.12775113000000002,41.42502071251035,55.92841163310962,227.1546486866966,205.35243276792968,1.1061697474186039,1.0051871165444877,0.7406793703396851,True,False,False
Clone1,mobilenet_v2,32,medium,0.10425363,0.12676949,55.432372505543235,52.52100840336134,281.8083666738417,176.59664477030475,1.5957741838208956,0.8223873898995727,1.0554323725055432,True,True,True
Clone1,mobilenet_v2,32,slow,0.13023425,0.15917278,40.55150040551501,35.587188612099645,211.52372650634885,121.45950223290974,1.7415164941210832,0.8181942289378874,1.1394971613949716,True,True,True
Clone1,mobilenet_v2,64,fast,0.10163102,0.12832569,63.13131313131313,55.865921787709496,395.33328060126735,206.29940909909936,1.9163083516703745,0.7919771949015042,1.130050505050505,True,True,True
Clone1,mobilenet_v2,64,medium,0.09690255,0.13004464,60.82725060827251,50.55611729019211,338.06882417810334,191.27399892491889,1.7674583376635842,0.745148358286816,1.2031630170316303,True,True,True
Clone1,mobilenet_v2,64,slow,0.12773791,0.16132779,41.11842105263158,35.06311360448808,233.2529734379178,124.75059966290472,1.869754326377614,0.7917911105086112,1.1726973684210527,True,True,True
Clone1,mobilenet_v2,128,fast,0.13014369,0.16530176,40.74979625101874,34.79471120389701,248.84220690533476,129.50399927422782,1.9215021026370422,0.7873097660908148,1.1711491442542787,True,True,True
Clone1,mobilenet_v2,128,medium,0.10052138000000001,0.13676319,58.75440658049354,51.282051282051285,370.986766991064,201.3596830348719,1.8424083778817615,0.7350031832395837,1.1457109283196238,True,True,True
Clone1,mobilenet_v2,128,slow,0.13081347,0.16399451999999998,40.51863857374392,35.0140056022409,243.68311610502823,128.62314921290252,1.894551001092918,0.7976697635994179,1.1572123176661262,True,True,True
Clone1,resnet50,1,fast,0.38265724,0.37888383999999997,13.950892857142858,23.85496183206107,20.557697932499675,37.73515176521784,0.5447890619443225,1.0099592529467607,0.5848214285714286,False,False,False
Clone1,resnet50,1,medium,0.30185413,0.37399232000000004,19.091256204658265,22.52252252252252,28.261935783112666,35.24350272750005,0.8019048504239689,0.807113178152963,0.847651775486827,False,True,False
Clone1,resnet50,1,slow,0.39051091,0.44381533,13.430029546065,15.332720024532351,19.62955865617025,23.56275660245301,0.8330756450680608,0.8798950455361693,0.8759065269943593,False,True,False
Clone1,resnet50,4,fast,0.19743940999999998,0.29392067,30.432136335970785,32.98153034300792,79.85323333539316,59.79915346144857,1.335357253625222,0.6717438756518893,0.9227023737066341,True,True,False
Clone1,resnet50,4,medium,0.17466135000000002,0.30590905,38.34355828220859,28.555111364934323,86.09222804000458,54.811156275529896,1.570706292113745,0.5709584270226723,1.3427914110429449,True,True,True
Clone1,resnet50,4,slow,0.21067309,0.3627285,27.979854504756574,19.282684149633628,65.28609499665512,33.22802592807602,1.964790058186744,0.5808010398962309,1.451035254616676,True,True,True
Clone1,resnet50,8,fast,0.14975039999999998,0.26002161,51.17707267144319,35.536602700781806,151.89126978171885,69.88472161053303,2.1734546018256697,0.5759152095089326,1.4401228249744114,True,True,True
Clone1,resnet50,8,medium,0.15496145,0.26874598,44.48398576512456,32.278889606197545,108.2782925917064,65.87372877360279,1.6437249660458897,0.5766093691894479,1.378113879003559,True,True,True
Clone1,resnet50,8,slow,0.19558287,0.33653451,30.175015087507543,21.533161068044787,80.5735639993763,39.30862553005115,2.049768032153106,0.5811673519009982,1.4013277006638505,True,True,True
Clone1,resnet50,16,fast,0.14348708000000002,0.29845057,52.41090146750524,23.062730627306273,170.5664301743279,43.51049655507918,3.9201214345694915,0.48077334883294076,2.2725366876310273,True,True,True
