model,precision,profile,batch,throughput_img_s_mean,throughput_img_s_std,throughput_img_s_min,throughput_img_s_max,latency_avg_ms_mean,latency_avg_ms_std,latency_avg_ms_min,latency_avg_ms_max,avg_power_W_mean,avg_power_W_std,avg_power_W_min,avg_power_W_max,energy_per_img_J_avg_power_times_meta_duration_mean,energy_per_img_J_avg_power_times_meta_duration_std,energy_per_img_J_avg_power_times_meta_duration_min,energy_per_img_J_avg_power_times_meta_duration_max,energy_per_img_J_integrated_log_timestamps_mean,energy_per_img_J_integrated_log_timestamps_std,energy_per_img_J_integrated_log_timestamps_min,energy_per_img_J_integrated_log_timestamps_max,energy_per_img_J_power_over_throughput_proxy_mean,energy_per_img_J_power_over_throughput_proxy_std,energy_per_img_J_power_over_throughput_proxy_min,energy_per_img_J_power_over_throughput_proxy_max
resnet50,fp16,medium,16,139.23559413178336,4.398051357791351,134.19230700969348,142.27376165054187,114.99096743299935,3.6956862629489264,112.45924627549947,119.23187220295891,7.076365534467393,0.3782097005967638,6.741820738137083,7.486747809152872,0.14750122955506997,0.007935802117579459,0.13833890589998948,0.1522081855758113,0.15057243,0.008162244860153376,0.14114762,0.15532909,0.05081721175460504,0.0019658085966905658,0.049204631795054264,0.053007009177209685
resnet50,fp16,medium,32,154.74688425488662,0.47827113215004763,154.21235772877301,155.13437364034942,206.72446757320242,0.6397436278912727,206.20680333498595,207.4396873693806,7.089733351711989,0.3356701164902585,6.7836710900473935,7.448722842639594,0.140454762181374,0.004472410467856998,0.13565739816607356,0.14450917039571487,0.14412771666666666,0.004535436421529168,0.13931063,0.14831585,0.045818914407370404,0.002287936546891984,0.04379559268000323,0.048301724662950324
resnet50,fp16,medium,64,167.97674492286282,0.9495941949991797,167.0038694257048,168.90120559943566,380.6478201138564,2.1528132930261847,378.55632053608525,382.8571107106931,7.1248597986410696,0.24768273471110197,6.932246575342466,7.40425613346418,0.13974789736236473,0.006910428982424801,0.13367601780116284,0.14726750056329851,0.14503349666666668,0.006927135755883034,0.13897497,0.15258558,0.042420937727749665,0.0016711324218625524,0.04125719377935472,0.04433583580384118
resnet50,fp16,medium,128,182.06029553186076,0.6960792809873856,181.46280974294567,182.82463955867655,702.396324716722,2.682040932857843,699.4529739555205,704.70218130541,7.289744665749446,0.26211272278251735,7.129953367875648,7.592245649948823,0.1355540795828731,0.0054733108246844695,0.13195510144561617,0.14185275176171927,0.14308357666666668,0.005860390917552634,0.13891713,0.14978467,0.040043473754595306,0.0015619937722814942,0.03899886462287994,0.041839127591508984
resnet50,fp16,slow,1,20.42046289855456,0.7119242314859952,19.62955865617025,21.010051494709042,49.010756346619644,1.7328100958299857,47.5962660182832,50.94358041950502,5.4404037609160865,0.2232553532488508,5.2443839261471625,5.683414095669403,0.39011537003508906,0.012294045627406137,0.37925581452965185,0.40346323458683875,0.39277329,0.012401212160909905,0.38165902,0.40614994,0.2664921815853483,0.009466187080843801,0.25670633231384116,0.27560251814976633
resnet50,fp16,slow,4,65.52802867676543,0.21147051406055623,65.28609499665512,65.67764598170771,61.04300558123388,0.19733425297350496,60.90352265539579,61.268789321905935,6.0582220136650315,0.21749968921866414,5.893129598189021,6.304672112676056,0.21422611377809975,0.00808933953148783,0.2080397056803085,0.22338014946888898,0.21693393000000002,0.008320856323528242,0.21067309,0.22637609,0.09244763425399181,0.003098400834175765,0.09026622894953283,0.09599418521230206
resnet50,fp16,slow,8,80.60542567794947,0.05567857291279934,80.5729961144205,80.66971692005158,99.24893363514916,0.0685293359952912,99.16980380541645,99.28884844544343,6.044801652407135,0.2102325724940856,5.900289200732154,6.285980487804879,0.1965124606460086,0.007522063178240955,0.19185761366863685,0.2051905324614709,0.19964084,0.007751957395051918,0.19476023,0.20857942000000002,0.07499132267470988,0.002555750120890525,0.07322859890841898,0.07792243146253573
resnet50,fp16,slow,16,96.94357493642308,0.10535898783272821,96.82869038896176,97.03568234945958,165.04459025444228,0.17943202754001428,164.88779810274718,165.24028090979903,6.05576921547723,0.21789394904774612,5.900571713147411,6.30487037037037,0.18136182993736286,0.006968389322845878,0.1762090973264408,0.1892903415823123,0.18488769333333333,0.0068783223154874834,0.17978616000000003,0.19271027999999998,0.06246646894842345,0.002226651735326016,0.06093825796305577,0.06502121855387273
resnet50,fp16,slow,32,105.93549319842016,0.057858700740783975,105.87640868166524,105.99204275509437,301.97404733631384,0.16493484885977097,301.81287617663367,302.1425043980687,6.062306466311334,0.2364814395573558,5.89466643454039,6.33279754601227,0.1738526843581463,0.008217463999097471,0.16704065536889587,0.18297918050763867,0.17829095666666664,0.008583375099553389,0.17128051,0.18786367999999998,0.05722626514236922,0.0022272211548291752,0.055674975265393355,0.059778321874533594
resnet50,fp16,slow,64,109.58237531091702,0.025119245898884455,109.55426458576173,109.60262073512291,583.4754081977886,0.13376134417167526,583.3676101628255,583.6251027524219,6.052287183614077,0.24190554361916208,5.867224559023067,6.326014965986395,0.17382664056413236,0.006720985017684738,0.16884654468449659,0.181471358559363,0.18012862,0.0070018356665377144,0.17492624000000004,0.18808957999999998,0.055230203005764957,0.002196960712507377,0.05355541914509464,0.057717734517265785
