factor,numerator,denominator,metric,group,n,geomean_ratio,geomean_ratio_ci95_low,geomean_ratio_ci95_high,median_ratio,median_percent_change,mean_num,mean_den,wilcoxon_p,rank_biserial_num_gt_den,wilcoxon_p_holm
profile,fast,slow,avg_power_W,model=resnet50|precision=fp16,21,1.1511219833364008,1.091717578442919,1.2137588023545887,1.25476903206416,25.476903206416,6.917683406926129,5.973068059396685,3.147125244140625e-05,0.922077922077922,0.00176239013671875
profile,fast,slow,avg_power_W,model=resnet50|precision=fp32,21,1.1345759251434986,1.060022375249662,1.2143729792609734,1.0066603478097331,0.6660347809733125,8.051126939428068,7.028163689154137,0.0024824142456054688,0.7229437229437229,0.10674381256103516
profile,fast,slow,avg_power_W,model=resnet50|precision=fp64,21,1.143143757245936,1.0848792308580835,1.2045374384176952,1.2257852438728836,22.578524387288358,5.921470700426349,5.145478712925509,6.67572021484375e-05,0.8961038961038961,0.00347137451171875
profile,fast,slow,energy_per_img_J_avg_power_times_meta_duration,model=mobilenet_v2|precision=fp16,21,0.8665589256473567,0.8212832361007703,0.9143305727075183,0.7948126123490646,-20.518738765093538,0.14126265431979496,0.16469305088553676,4.76837158203125e-06,-0.974025974025974,0.00030994415283203125
profile,fast,slow,energy_per_img_J_avg_power_times_meta_duration,model=mobilenet_v2|precision=fp32,21,0.8552309007807855,0.8099576899112597,0.9030346927509871,0.7972304581033476,-20.27695418966524,0.16309134213647114,0.1882159178616101,4.100799560546875e-05,-0.9134199134199135,0.0022554397583007812
profile,fast,slow,energy_per_img_J_avg_power_times_meta_duration,model=mobilenet_v2|precision=fp64,21,0.8096897981391964,0.733520545481857,0.8937685157544212,0.6737483190409587,-32.62516809590414,0.4919497288034609,0.5916939697732531,0.002857208251953125,-0.7142857142857143,0.114288330078125
profile,fast,slow,energy_per_img_J_avg_power_times_meta_duration,model=resnet50|precision=fp16,21,0.8790643441779126,0.8299442696947635,0.9310915797866124,0.8160824339092775,-18.391756609072253,0.19205286474715721,0.21441438471358532,0.0021514892578125,-0.7316017316017316,0.09466552734375
profile,fast,slow,energy_per_img_J_avg_power_times_meta_duration,model=resnet50|precision=fp32,21,0.9152336826307045,0.8725740301582801,0.9599789414656491,0.9861262258261753,-1.3873774173824738,0.30302997112290303,0.32921751502472363,0.0024824142456054688,-0.7229437229437229,0.10674381256103516
profile,fast,slow,energy_per_img_J_avg_power_times_meta_duration,model=resnet50|precision=fp64,21,0.7794255232225463,0.7032396891340635,0.863864988904128,0.6677386278853582,-33.22613721146418,3.700122179547873,4.614708403976306,0.0008516311645507812,-0.7835497835497836,0.03917503356933594
profile,fast,slow,energy_per_img_J_integrated_log_timestamps,model=mobilenet_v2|precision=fp16,21,0.8674206843487219,0.8224887385395756,0.9148072288163017,0.797008026480392,-20.299197351960796,0.14394608619047616,0.16759870761904758,4.76837158203125e-06,-0.974025974025974,0.00030994415283203125
profile,fast,slow,energy_per_img_J_integrated_log_timestamps,model=mobilenet_v2|precision=fp32,21,0.8568817154709756,0.8117133425161207,0.9045635150365903,0.7989716982271949,-20.102830177280506,0.16672677476190478,0.19206453666666667,8.392333984375e-05,-0.8874458874458875,0.00428009033203125
profile,fast,slow,energy_per_img_J_integrated_log_timestamps,model=mobilenet_v2|precision=fp64,21,0.809384716968202,0.733447864489269,0.8931836218759366,0.6696093489678526,-33.03906510321474,0.5069766500000001,0.6106569338095239,0.002857208251953125,-0.7142857142857143,0.114288330078125
profile,fast,slow,energy_per_img_J_integrated_log_timestamps,model=resnet50|precision=fp16,21,0.8813492003287745,0.832390176172471,0.9331878668871058,0.8200640157265775,-17.99359842734225,0.19662513904761905,0.2190039252380952,0.0024824142456054688,-0.7229437229437229,0.10674381256103516
profile,fast,slow,energy_per_img_J_integrated_log_timestamps,model=resnet50|precision=fp32,21,0.9161168884242338,0.873682491089948,0.9606123068908964,0.9885407891612193,-1.1459210838780653,0.3112056552380952,0.3377226319047619,0.0037527084350585938,-0.696969696969697,0.14260292053222656
profile,fast,slow,energy_per_img_J_integrated_log_timestamps,model=resnet50|precision=fp64,21,0.7791142521314516,0.7028137737734963,0.8636982377496516,0.667761613372212,-33.2238386627788,3.8298051428571425,4.777922993809525,0.0008516311645507812,-0.7835497835497836,0.03917503356933594
profile,fast,slow,energy_per_img_J_power_over_throughput_proxy,model=mobilenet_v2|precision=fp16,21,0.8259559349307874,0.7762884841948838,0.878801142019939,0.80072490599131,-19.927509400869003,0.04755481457300346,0.058481381487104675,1.9073486328125e-06,-0.9913419913419913,0.0001277923583984375
profile,fast,slow,energy_per_img_J_power_over_throughput_proxy,model=mobilenet_v2|precision=fp32,21,0.8063455935745516,0.7522287710335454,0.8643556871452086,0.766261520263717,-23.373847973628305,0.06175806007402515,0.07352911238591321,1.33514404296875e-05,-0.948051948051948,0.000774383544921875
profile,fast,slow,energy_per_img_J_power_over_throughput_proxy,model=mobilenet_v2|precision=fp64,21,0.7862317469268564,0.704189765837172,0.877832070082359,0.6406617348660314,-35.93382651339686,0.38812421839683386,0.4778790783118416,0.00024127960205078125,-0.8441558441558441,0.0115814208984375
profile,fast,slow,energy_per_img_J_power_over_throughput_proxy,model=resnet50|precision=fp16,21,0.8198470277645828,0.7637520636201566,0.8800619742334423,0.7778100842705887,-22.21899157294113,0.08109119114972867,0.09441094294054368,0.00013065338134765625,-0.8701298701298701,0.0065326690673828125
profile,fast,slow,energy_per_img_J_power_over_throughput_proxy,model=resnet50|precision=fp32,21,0.8864177043884607,0.8347123177689783,0.9413259274206316,0.9748721575742547,-2.5127842425745284,0.16787627223192544,0.18730973716959762,5.245208740234375e-05,-0.9047619047619048,0.0027799606323242188
profile,fast,slow,energy_per_img_J_power_over_throughput_proxy,model=resnet50|precision=fp64,21,0.7750196109336838,0.6977701189941824,0.8608213235006794,0.6628274984704748,-33.717250152952516,3.590330397235603,4.498863057641925,0.000720977783203125,-0.7922077922077922,0.033885955810546875
batch,128,1,throughput_img_s,model=mobilenet_v2|precision=fp16,9,10.683668007315548,9.549651905010696,11.952347920728734,11.05221569017318,1005.221569017318,321.5390005968614,29.87440508880829,0.00390625,1.0,0.14453125
batch,128,1,throughput_img_s,model=mobilenet_v2|precision=fp32,9,4.99371376142134,4.1912061810518,5.94988078700313,4.918487491803309,391.8487491803309,161.61654392033347,32.162609027884265,0.00390625,1.0,0.14453125
batch,128,1,throughput_img_s,model=mobilenet_v2|precision=fp64,9,0.9344057836711197,0.8906693966388811,0.9802898492447478,0.9617999053514513,-3.8200094648548677,16.71564302387459,17.65675058321455,0.00390625,-1.0,0.14453125
batch,128,1,throughput_img_s,model=resnet50|precision=fp16,9,6.322858646790316,5.544690721972064,7.210238311195113,5.971093937159105,497.10939371591047,155.288684242531,24.39314455237898,0.00390625,1.0,0.14453125
batch,128,1,throughput_img_s,model=resnet50|precision=fp32,9,2.1109877508517907,1.7289788016356142,2.577399607230968,2.017484266061403,101.74842660614031,62.06483173693526,28.922148130672774,0.00390625,1.0,0.14453125
batch,128,1,throughput_img_s,model=resnet50|precision=fp64,9,1.2603916897455163,1.0821384814857218,1.468007319542419,1.1969604954791948,19.69604954791948,1.8364479054737528,1.46653587961266,0.00390625,1.0,0.14453125
batch,128,1,latency_avg_ms,model=mobilenet_v2|precision=fp16,9,11.969413291773904,10.698921977487556,13.390774776258102,11.570280696327842,1057.028069632784,417.97879322209803,34.696925615295235,0.00390625,1.0,0.14453125
batch,128,1,latency_avg_ms,model=mobilenet_v2|precision=fp32,9,25.607642720648304,21.492403365626487,30.510843973696165,25.999301221111292,2499.930122111129,831.4800186770337,32.274847764112124,0.00390625,1.0,0.14453125
batch,128,1,latency_avg_ms,model=mobilenet_v2|precision=fp64,9,136.85407355812237,130.44839539059163,143.57430302897208,132.95617637322889,13195.617637322888,8788.132622622674,63.26718019343956,0.00390625,1.0,0.14453125
batch,128,1,latency_avg_ms,model=resnet50|precision=fp16,9,20.22459222879779,17.73550780604731,23.06300644415035,21.416048582967555,2041.6048582967555,866.8828997305061,42.51114226291631,0.00390625,1.0,0.14453125
batch,128,1,latency_avg_ms,model=resnet50|precision=fp32,9,60.576968198921854,49.61482786483681,73.96113690387098,63.38450316705985,6238.450316705985,2214.0076293990114,35.9796294214174,0.00390625,1.0,0.14453125
batch,128,1,latency_avg_ms,model=resnet50|precision=fp64,9,101.45833147906734,87.10940071574167,118.17086263866466,106.83496935332663,10583.496935332663,77447.99950173267,764.3905996808925,0.00390625,1.0,0.14453125
batch,128,1,avg_power_W,model=mobilenet_v2|precision=fp16,9,1.1128362791925983,1.0534562080167387,1.1755634214911277,1.1203489734820047,12.034897348200468,5.913045182093183,5.309607085502037,0.0078125,0.9555555555555556,0.14453125
batch,128,1,avg_power_W,model=mobilenet_v2|precision=fp32,9,1.1646074247727713,1.0725979352108055,1.2645096632311719,1.132202198876931,13.220219887693109,6.417922729299952,5.506747199125754,0.0078125,0.9555555555555556,0.14453125
batch,128,1,avg_power_W,model=mobilenet_v2|precision=fp64,9,0.9644477827540485,0.9589380026466238,0.9699892204626408,0.9660177095191003,-3.3982290480899735,5.836617770034638,6.055175849674664,0.00390625,-1.0,0.14453125
