prefix,model,precision,profile,batch,metric,n_devices,mean,sd,cv,min,max,max_to_min_ratio
resnet50_fp16_fast_BS16,resnet50,fp16,fast,16,latency_avg_ms,4,123.10718396373095,33.672896740426594,0.27352503449633847,93.80509390767664,154.55840032149106,1.6476546622682142
resnet50_fp16_fast_BS16,resnet50,fp16,fast,16,avg_power_W,4,7.143405131024659,0.5368071835798159,0.0751472405293658,6.378668272539573,7.517579894179893,1.1785500629564607
resnet50_fp16_fast_BS16,resnet50,fp16,fast,16,energy_per_img_J_avg_power_times_meta_duration,4,0.16814567625647334,0.03282510715508871,0.19521826481592325,0.1403766474662075,0.20672643177977873,1.472655427460208
resnet50_fp16_fast_BS16,resnet50,fp16,fast,16,energy_per_img_J_integrated_log_timestamps,4,0.1716050575,0.03330359121069115,0.194071152073657,0.14348708000000002,0.21106817,1.4709907679492813
resnet50_fp16_fast_BS16,resnet50,fp16,fast,16,energy_per_img_J_power_over_throughput_proxy,4,0.05425414647280293,0.011867524844435826,0.21873949948479787,0.04407420549575042,0.06707963573921329,1.5219703902701325
resnet50_fp16_fast_BS4,resnet50,fp16,fast,4,throughput_img_s,4,103.27537144943065,26.645225434037755,0.2580017390408006,79.85323333539316,126.5049900716883,1.5842187571835966
resnet50_fp16_fast_BS4,resnet50,fp16,fast,4,latency_avg_ms,4,40.76682373677715,10.519115131056019,0.25803126579043156,31.6193060663715,50.09189775947481,1.5842187571835964
resnet50_fp16_fast_BS4,resnet50,fp16,fast,4,avg_power_W,4,7.227856234654922,0.908198053422428,0.1256524789560632,6.006800615384615,8.144662547528517,1.355906924339791
resnet50_fp16_fast_BS4,resnet50,fp16,fast,4,energy_per_img_J_avg_power_times_meta_duration,4,0.18987721290163131,0.0322528961267118,0.1698618577439352,0.16098892552356134,0.23328517649302163,1.4490759270200824
resnet50_fp16_fast_BS4,resnet50,fp16,fast,4,energy_per_img_J_integrated_log_timestamps,4,0.1927183875,0.032528178743477534,0.16878606740873406,0.16375964,0.23661472999999997,1.444890389353567
resnet50_fp16_fast_BS4,resnet50,fp16,fast,4,energy_per_img_J_power_over_throughput_proxy,4,0.07217987710156751,0.012809690430879445,0.1774689975275846,0.06022371748847135,0.08889063587154523,1.476007121090816
resnet50_fp16_fast_BS8,resnet50,fp16,fast,8,throughput_img_s,4,141.43342553529473,35.29452759743904,0.2495487008382703,90.54933373857529,172.16826459885525,1.901375277878043
resnet50_fp16_fast_BS8,resnet50,fp16,fast,8,latency_avg_ms,4,60.10535585112986,19.065293729570232,0.3171979178825849,46.4661708627874,88.34962853616103,1.9013752778780433
resnet50_fp16_fast_BS8,resnet50,fp16,fast,8,avg_power_W,4,7.65490483345559,1.0447508513990813,0.13648123316086455,6.3922601781170485,8.950585774058577,1.400222382170797
resnet50_fp16_fast_BS8,resnet50,fp16,fast,8,energy_per_img_J_avg_power_times_meta_duration,4,0.16632075662549192,0.02421998292266226,0.14562213047887296,0.14735977630259134,0.1994906801292867,1.35376617103197
